Frame index,Hips,LHipJoint,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RHipJoint,RightUpLeg,RightLeg,RightFoot,RightToeBase,LowerBack,Spine,Spine1,Neck,Neck1,Head,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftFingerBase,LeftHandIndex1,LThumb,RightShoulder,RightArm,RightForeArm,RightHand,RightFingerBase,RightHandIndex1,RThumb
1,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
2,"[0.0, 0.15578978138323651]","[0.0, 0.15578978138323651]","[0.0, 0.2627225988864573]","[0.0, 0.4232937593375702]","[0.0, 0.5055821544884588]","[0.0, 0.0]","[0.0, 0.15578978138323651]","[0.0, 0.7009028403807307]","[0.0, 0.8519474706166964]","[0.0, 0.43143251016164996]","[0.0, 0.35914074473675905]","[0.0, 0.1444457757845589]","[0.0, 0.10677120118234254]","[0.0, 0.09166384871830474]","[0.0, 0.07529449373852541]","[0.0, 0.46003428207909464]","[0.0, 0.18086983115403332]","[0.0, 0.10677120118234254]","[0.0, 1.4550613447767757]","[0.0, 1.943633686021156]","[0.0, 0.5899666657346353]","[0.0, 0.5778874970197924]","[0.0, 0.124354709204596]","[0.0, 0.6053682771015824]","[0.0, 0.10677120118234254]","[0.0, 1.7581313359649677]","[0.0, 1.4276222017240197]","[0.0, 0.2343750292625625]","[0.0, 1.028734097290795]","[0.0, 0.124354709204596]","[0.0, 0.34229928970689905]"
3,"[0.009391469601301328, 0.01329269383369189]","[0.009391469601301328, 0.01329269383369189]","[0.004413819315254065, 0.010482760184430269]","[0.006789651290976585, 0.02604297658449088]","[0.006685714865330793, 0.03062636293167996]","[0.0, 0.0]","[0.009391469601301328, 0.01329269383369189]","[0.0042956925952158465, 0.02721467457813912]","[0.007172763487777863, 0.055394693146390735]","[0.004588793574435438, 0.017899932126294312]","[0.00697945145723859, 0.02271800848321944]","[0.008098861969928234, 0.010614584466312105]","[0.003463715559000838, 0.0033399947753382734]","[0.004355958802781275, 0.003609277839665048]","[0.009189447833570112, 0.006284989907118016]","[0.0017601505988834572, 0.007300416562575735]","[0.002201488160422615, 0.0035915521063576805]","[0.003463715559000838, 0.0033399947753382734]","[0.0017758211741743031, 0.023296729715494114]","[0.0007099158777935532, 0.012427170045210179]","[0.0018802708995242416, 0.010002481943179493]","[0.003710090140808729, 0.019367989705370087]","[0.0, 0.0]","[0.003502349815937521, 0.01914897000674377]","[0.003463715559000838, 0.0033399947753382734]","[0.0007355039988405497, 0.011646579832391946]","[0.0003890304085872388, 0.005000441398667661]","[0.0019332343641994209, 0.004085815778918707]","[0.0014177801830439344, 0.01314530664788775]","[0.0, 0.0]","[0.00426878446989988, 0.013207196128228686]"
4,"[0.023973184981028704, 0.021042835872152606]","[0.023973184981028704, 0.021042835872152606]","[0.014255359357570597, 0.02332296931221849]","[0.019676284942060064, 0.04982279859562924]","[0.010154424334283894, 0.017969816279057225]","[0.0, 0.0]","[0.023973184981028704, 0.021042835872152606]","[0.007959168924017867, 0.02455211863352671]","[0.010807746426264635, 0.03187875701244431]","[0.010915670393933336, 0.025140460709889068]","[0.006843296978862921, 0.0013138424844946922]","[0.021973508610937394, 0.018435587730029224]","[0.009596460290237665, 0.005937864563326563]","[0.016125767002800617, 0.009687105436754884]","[0.027643937691655053, 0.012770164975186417]","[0.0037335945427680994, 0.008432198263768178]","[0.004991826619302994, 0.004649299047886488]","[0.009596460290237665, 0.005937864563326563]","[0.003223337904626182, 0.020156046772734738]","[0.0014650629030436503, 0.013665476569060725]","[0.0024178275630284676, 0.0036494834659200506]","[0.007290079971004355, 0.019523183587988817]","[0.0, 0.0]","[0.006938212848609967, 0.019593133535155283]","[0.009596460290237665, 0.005937864563326563]","[0.0019933277801007653, 0.019936024271119013]","[0.0006120139369284767, 0.003179902533299424]","[0.006406346243956092, 0.009361946107697548]","[0.002038228060107823, 0.00668011564734549]","[0.0, 0.0]","[0.006138865150148835, 0.00672860837502105]"
5,"[0.03264091884840452, 0.014256257980288222]","[0.03264091884840452, 0.014256257980288222]","[0.023107423440207282, 0.02208067162460776]","[0.034120085199672565, 0.05746087472390344]","[0.017563513190558648, 0.034658302184890716]","[0.0, 0.0]","[0.03264091884840452, 0.014256257980288222]","[0.010264647926019829, 0.01755902480240974]","[0.0147960193030299, 0.035110094871320094]","[0.012496843733967863, 0.009359244843523217]","[0.006843283486778419, 0.0019971799479794067]","[0.029406064876789765, 0.011483062203812277]","[0.022662467511823377, 0.012326049967633564]","[0.029974800796453364, 0.01169996804564518]","[0.06488004883844192, 0.02618975280734207]","[0.0064649324814961065, 0.011497530909058895]","[0.01004493801496263, 0.008124155869656131]","[0.022662467511823377, 0.012326049967633564]","[0.004477895323146007, 0.01842926051913129]","[0.0022126623308823734, 0.013927417197297051]","[0.003344817129222176, 0.005539675045829898]","[0.008135568366913804, 0.007340532758713744]","[0.0, 0.0]","[0.007729765564498186, 0.007251792808310351]","[0.022662467511823377, 0.012326049967633564]","[0.004490864252997233, 0.0381373056356024]","[0.0007399670711684709, 0.002162221360248304]","[0.01029925165208263, 0.008585274590560143]","[0.001998118131240953, 0.0010204861490217814]","[0.0, 0.0]","[0.0060181907081803985, 0.001029995324428102]"
6,"[0.03973986778452378, 0.012653589433855288]","[0.03973986778452378, 0.012653589433855288]","[0.03777745936781336, 0.03494264129812246]","[0.051503386820718165, 0.06963937038904382]","[0.037402604274763024, 0.08656029928381366]","[0.0, 0.0]","[0.03973986778452378, 0.012653589433855288]","[0.012423623739783009, 0.016961859908760556]","[0.017301765251243998, 0.026016721040291856]","[0.014734548936511181, 0.011503486090219542]","[0.008298817772821118, 0.005885372709716764]","[0.04123747302172184, 0.016683991757786103]","[0.026979626918116444, 0.005474755516262878]","[0.03867415389095369, 0.008383458204801202]","[0.07419556037450532, 0.009959110312602637]","[0.009163304612863734, 0.011637964471993329]","[0.013072204474765637, 0.00555106550801628]","[0.026979626918116444, 0.005474755516262878]","[0.006530899920976016, 0.027462763570048846]","[0.0028275562662290823, 0.012218031989484554]","[0.0057163496456792045, 0.012054989143525046]","[0.010812993192556141, 0.015300847951248468]","[0.0, 0.0]","[0.010254479521777653, 0.015133909741580805]","[0.026979626918116444, 0.005474755516262878]","[0.005369113832863972, 0.017628785360291895]","[0.001320948594172082, 0.007024463213950397]","[0.010108130070343481, 0.0011536626355682247]","[0.0021340539267135834, 0.002601496394607727]","[0.0, 0.0]","[0.006413975184171368, 0.0025940313551262167]"
7,"[0.04952311639918938, 0.015871131975340402]","[0.04952311639918938, 0.015871131975340402]","[0.04933325461389363, 0.029806659349359717]","[0.07078048176013466, 0.07810346556510381]","[0.04226966250842433, 0.032697104090216186]","[0.0, 0.0]","[0.04952311639918938, 0.015871131975340402]","[0.016756998583344583, 0.027821730909978897]","[0.018503139292152807, 0.017969866953319216]","[0.015321338043725572, 0.006377380341966236]","[0.009114148609432136, 0.004248168210705847]","[0.05017118373772539, 0.013924829616689461]","[0.0335505100208067, 0.007270266289470642]","[0.04476587299238517, 0.006739813842952113]","[0.09810036248904933, 0.01897099654415474]","[0.01415177843707243, 0.019357799443889514]","[0.019500359341623797, 0.010026345601429986]","[0.0335505100208067, 0.007270266289470642]","[0.008432134555816841, 0.026227339882050973]","[0.0035920720248901585, 0.014293491197616293]","[0.008004487296985054, 0.011913617474113023]","[0.013617985514988534, 0.015948494190748737]","[0.0, 0.0]","[0.012902501075583682, 0.015782538043809396]","[0.0335505100208067, 0.007270266289470642]","[0.006705521196052613, 0.023269112909092154]","[0.0018313141649425194, 0.006433874300276183]","[0.010847132093042377, 0.002919935838586511]","[0.00363052436629082, 0.012380483692794972]","[0.0, 0.0]","[0.010615165035294461, 0.011795171006292078]"
8,"[0.050949860763372976, 0.006929463949721807]","[0.050949860763372976, 0.006929463949721807]","[0.0639581766239032, 0.03585389834914688]","[0.09112835793171026, 0.08347254028780488]","[0.04209586498538585, 0.013924014288226217]","[0.0, 0.0]","[0.050949860763372976, 0.006929463949721807]","[0.017000254576462315, 0.008929370993053298]","[0.018424012572532247, 0.009698112524567001]","[0.017030060476194903, 0.009373538308865417]","[0.01199075618792268, 0.009144013319355788]","[0.050093699802155126, 0.004878789752403388]","[0.03662692199539389, 0.00474097919016102]","[0.05121798227610265, 0.006959011532417791]","[0.1093228052369053, 0.01222152017155296]","[0.014183092877669464, 0.004423337578056302]","[0.02042970551847962, 0.0034862009841217004]","[0.03662692199539389, 0.00474097919016102]","[0.011704426052498166, 0.03949289574642253]","[0.004437947335614833, 0.01528903934562718]","[0.010852510855277697, 0.01417207352619394]","[0.019435221071119745, 0.027661420024895488]","[0.0, 0.0]","[0.018440202552614027, 0.027525054126911905]","[0.03662692199539389, 0.00474097919016102]","[0.00845570125629969, 0.027986894111542246]","[0.0024148049235509215, 0.007133043743765331]","[0.010598055433027408, 0.0009128071987930326]","[0.004669862192034657, 0.00944198553935062]","[0.0, 0.0]","[0.013569060533717377, 0.009119685964967724]"
9,"[0.059812329830294865, 0.014221392459443722]","[0.059812329830294865, 0.014221392459443722]","[0.07853971697982792, 0.03609616707508832]","[0.11111728804680757, 0.08364890124870876]","[0.051001574295600614, 0.044326214103593144]","[0.09999999999999998, 0.3878156944517846]","[0.059812329830294865, 0.014221392459443722]","[0.01885867790998956, 0.015360770365241945]","[0.017606140770943732, 0.001102159764044132]","[0.01932274175995289, 0.010745030572206453]","[0.01932012151125049, 0.019152461415909795]","[0.05652357990717817, 0.010757666455708827]","[0.03960772222251319, 0.004583554741432463]","[0.05197643045810938, 0.0035092314723017145]","[0.11945138104697338, 0.011720915683354989]","[0.016314549783061214, 0.010072947856446484]","[0.02314007210472514, 0.005349046592471244]","[0.03960772222251319, 0.004583554741432463]","[0.014366611164114959, 0.034065697289087045]","[0.005253704719358405, 0.01476567704043284]","[0.013161842707010454, 0.012208578117700432]","[0.018839039946734113, 0.002687628010895135]","[0.0, 0.0]","[0.017876151604846683, 0.002679188421838476]","[0.03960772222251319, 0.004583554741432463]","[0.010408895649358128, 0.029950523245039638]","[0.003304717957637467, 0.009735272915568098]","[0.01175542669201525, 0.003200933848157587]","[0.005749451348170198, 0.009627409920758419]","[0.0, 0.0]","[0.016589933794890033, 0.009222337697003697]"
10,"[0.06421225860013187, 0.009878055971198412]","[0.06421225860013187, 0.009878055971198412]","[0.09049330805812941, 0.031838817945766304]","[0.13156528891219704, 0.08563672855622784]","[0.05175034734165429, 0.018542415653187077]","[0.11877208346087231, 0.07049816979573113]","[0.06421225860013187, 0.009878055971198412]","[0.02147928587215612, 0.017936510356806976]","[0.01715711405809947, 0.004256725866680447]","[0.021416064805844286, 0.01000767889097862]","[0.03965755612983968, 0.04888739182986828]","[0.05826675803783772, 0.006488932225119687]","[0.04554872249035578, 0.006363957615650709]","[0.05175123077190142, 0.0026432706139891725]","[0.1190885235347034, 0.005968438043661966]","[0.01885797395313712, 0.01092690597200474]","[0.025364995728624582, 0.004720046550301681]","[0.04554872249035578, 0.006363957615650709]","[0.016232767179696638, 0.027018878944230225]","[0.006171995431086972, 0.015533630786241955]","[0.013573267905305678, 0.005715953300281395]","[0.021529232074694007, 0.015107588707681157]","[0.0, 0.0]","[0.02032231578817531, 0.014620884337036157]","[0.04554872249035578, 0.006363957615650709]","[0.013266576761578826, 0.03837126529502424]","[0.004008698621479121, 0.008167758288785007]","[0.01578758531368745, 0.006932447788921454]","[0.0064540986624813165, 0.007315675092832473]","[0.0, 0.0]","[0.018592811544222612, 0.007111641467229057]"
