Frame index,Hips,LHipJoint,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RHipJoint,RightUpLeg,RightLeg,RightFoot,RightToeBase,LowerBack,Spine,Spine1,Neck,Neck1,Head,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftFingerBase,LeftHandIndex1,LThumb,RightShoulder,RightArm,RightForeArm,RightHand,RightFingerBase,RightHandIndex1,RThumb
1,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
2,"[0.0, 2.0299673732259]","[0.0, 2.0299673732259]","[0.0, 0.3594642363181395]","[0.0, 0.3750340674086497]","[0.0, 0.38553616344966796]","[0.0, 0.4858215886348979]","[0.0, 2.0299673732259]","[0.0, 0.6914881149139402]","[0.0, 0.418846891253454]","[0.0, 0.13739558736667926]","[0.0, 0.5844897101935884]","[0.0, 0.19581853671367921]","[0.0, 0.18670547967488277]","[0.0, 0.13441196178663548]","[0.0, 0.5305597228320672]","[0.0, 0.6134488691563229]","[0.0, 0.2930663245261132]","[0.0, 0.18670547967488277]","[0.0, 0.3303996661421824]","[0.0, 0.9462497594169793]","[0.0, 0.12953135576601116]","[0.0, 0.9131147209401458]","[0.0, 0.124354709204596]","[0.0, 0.7796625428690701]","[0.0, 0.18670547967488277]","[0.0, 1.0750670852029491]","[0.0, 1.0235800431591995]","[0.0, 0.4899889701926441]","[0.0, 0.3175878822367453]","[0.0, 0.124354709204596]","[0.0, 0.3732836584186799]"
3,"[0.000489589162461649, 0.017906834551657338]","[0.000489589162461649, 0.017906834551657338]","[0.0017431385926848014, 0.011318186377866758]","[0.0012260832318560396, 0.008297159928177806]","[0.0016750953599511467, 0.011663652889471833]","[0.000281714147350463, 0.002464919524668284]","[0.000489589162461649, 0.017906834551657338]","[0.0008753069966000022, 0.010913865070872886]","[0.00013740337605541776, 0.0010362023672414835]","[0.007856828216371656, 0.019741089770928623]","[0.004186477503033374, 0.044417057263907225]","[0.0006310194584031349, 0.0022269861951318202]","[0.0008436334647954864, 0.0028399898224942027]","[0.0005733613267242368, 0.0013887918470208366]","[0.000783085021730096, 0.0074902518621966785]","[0.0007505508439963943, 0.008300101643588275]","[0.0007489668414883611, 0.003956872552153149]","[0.0008436334647954864, 0.0028399898224942027]","[0.00031698803987104444, 0.001886385352388438]","[0.00012693694254461787, 0.002162601977744867]","[0.0010853050399338541, 0.0025359634031477596]","[0.00041273431334164825, 0.006789332455774093]","[0.0, 0.0]","[0.0004809067484590106, 0.0067555072451843615]","[0.0008436334647954864, 0.0028399898224942027]","[0.0002517012955175719, 0.004873177226432493]","[6.766076144404523e-05, 0.0012467804219009919]","[9.477018706727742e-05, 0.0008360127117052654]","[0.0011369198217531186, 0.006514107515638995]","[0.0, 0.0]","[0.0009817646113246786, 0.006609558602600784]"
4,"[0.0009644634693775961, 0.017259247097985247]","[0.0009644634693775961, 0.017259247097985247]","[0.0033372863110643636, 0.010331359446732634]","[0.002324947264718186, 0.007425622681550568]","[0.004234851257710294, 0.01746437463247728]","[0.004481012428358438, 0.03524368573309853]","[0.0009644634693775961, 0.017259247097985247]","[0.0015255422110473636, 0.008180906237356182]","[0.0009051757974513716, 0.0055286111404239755]","[0.010161017405211024, 0.006459249266514971]","[0.004806915058956737, 0.008355346161391268]","[0.0018834995600342428, 0.004290959898283227]","[0.002039457072379814, 0.003944068868399221]","[0.00199034152177711, 0.0033177000919736416]","[0.0010277607321489163, 0.002566386607490053]","[0.001037535077562532, 0.003392293998888674]","[0.000894594142401334, 0.0009142794561849239]","[0.002039457072379814, 0.003944068868399221]","[0.0012510206850867775, 0.005350539425637108]","[0.0002022347046772505, 0.001313884972496558]","[0.0011202950982511103, 0.00019722220547533124]","[0.0006777437125913403, 0.004439888529113572]","[0.0, 0.0]","[0.000782179083544359, 0.004318439187141531]","[0.002039457072379814, 0.003944068868399221]","[0.0005167946510549558, 0.005079120951531836]","[0.00014280978391376098, 0.0013668474883764509]","[0.0002594536995167238, 0.001411971364863441]","[0.002582785958408066, 0.008149874806115813]","[0.0, 0.0]","[0.002195930480152798, 0.008046881921859627]"
5,"[0.0013474429025957897, 0.014036121546380767]","[0.0013474429025957897, 0.014036121546380767]","[0.004395727183050147, 0.0071027274709161555]","[0.003838036310228087, 0.00984104438229902]","[0.007272872203399467, 0.020310438825134808]","[0.00907873715696422, 0.038217466077267684]","[0.0013474429025957897, 0.014036121546380767]","[0.0022712107094982068, 0.009129732493980882]","[0.0012562194884140694, 0.002664605082004714]","[0.010963883991218684, 0.002985344401220625]","[0.005071431176686421, 0.004811083111134914]","[0.0033417396662570142, 0.004894258395360515]","[0.0025656972561147384, 0.0018865640512108492]","[0.0031021539973434594, 0.002621150457455282]","[0.001457469979456495, 0.004098427721273873]","[0.001283952678016899, 0.0029377169029572805]","[0.001076252560035245, 0.0010651309713136325]","[0.0025656972561147384, 0.0018865640512108492]","[0.001973134258625565, 0.00416484046378748]","[0.00032658234471645174, 0.002036877579391344]","[0.0011059343287107399, 4.1887902047880524e-05]","[0.0016142731539965493, 0.014232874788914572]","[0.0, 0.0]","[0.0018960969704189205, 0.01445019550596419]","[0.0025656972561147384, 0.0018865640512108492]","[0.0007452322241405837, 0.004379008660512253]","[0.00018422099790342357, 0.0007954103318751825]","[0.0004955709403335197, 0.0019547687622335917]","[0.0028037040977979596, 0.001790195769993192]","[0.0, 0.0]","[0.0023893077715387485, 0.0018204757713617505]"
6,"[0.0016714487453444544, 0.011952309972537038]","[0.0016714487453444544, 0.011952309972537038]","[0.0055450367701301425, 0.007459594120643299]","[0.005337997045685408, 0.009600840220429294]","[0.009478904923971458, 0.015121504091440066]","[0.009604186597908258, 0.007324253622627978]","[0.0016714487453444544, 0.011952309972537038]","[0.002435170905881854, 0.0028936784904496794]","[0.0017197997184956785, 0.0033217109604997226]","[0.0159672712498172, 0.011989414378863769]","[0.012644493762631017, 0.07141344286296017]","[0.004547644672587459, 0.004066458397432063]","[0.0036340579987099025, 0.0033749028790811967]","[0.003721811353093958, 0.0015749177111739577]","[0.0016939013708491969, 0.002473154673060263]","[0.0015972391164540318, 0.0034891735158468573]","[0.0012282402478467642, 0.0009087688013900679]","[0.0036340579987099025, 0.0033749028790811967]","[0.0026226649693432474, 0.003728029305958423]","[0.00033027734080206183, 0.0002844337111343401]","[0.0017378276928672913, 0.0013439035240356686]","[0.001926330270397332, 0.005407623001591606]","[0.0, 0.0]","[0.0022231786340511086, 0.004964418460299142]","[0.0036340579987099025, 0.0033749028790811967]","[0.0010146833567999604, 0.004953840850105749]","[0.0003432917928571607, 0.0025859249249417446]","[0.0007114993775942936, 0.0017715091907742507]","[0.004731420155154367, 0.00995402586510713]","[0.0, 0.0]","[0.0039635868545481664, 0.009564708188534752]"
7,"[0.0021755963536422267, 0.01676588059048463]","[0.0021755963536422267, 0.01676588059048463]","[0.007125378053896995, 0.009474483985780912]","[0.007053500866037289, 0.010533859341478328]","[0.012193248628539693, 0.017597343584472604]","[0.011214508484472424, 0.014698122006594629]","[0.0021755963536422267, 0.01676588059048463]","[0.0027316425530818926, 0.004076204034692767]","[0.0020401001363080603, 0.0023959060268920833]","[0.0195639786969682, 0.008974668907551973]","[0.01817512558517191, 0.05307043306278286]","[0.006292151059931545, 0.005470577431197392]","[0.005963843540099755, 0.006665158470952079]","[0.005422148000239465, 0.0035904565448499313]","[0.003659229273903745, 0.015416864644571112]","[0.00243425203336921, 0.00792004306494862]","[0.002359684270153057, 0.004929484302048001]","[0.005963843540099755, 0.006665158470952079]","[0.005204103033971065, 0.012754848344109084]","[0.00034209790999747497, 0.00037572801090895514]","[0.0020594337753385445, 0.0007470009198535114]","[0.0034869703019996764, 0.021394579448403308]","[0.0, 0.0]","[0.0040041618306514044, 0.020890419035146324]","[0.005963843540099755, 0.006665158470952079]","[0.0014095499964862377, 0.0067246899110073475]","[0.0004640417237091375, 0.001978471558924621]","[0.0007678697407271021, 0.000631809189221891]","[0.006652449181005209, 0.009722048026193987]","[0.0, 0.0]","[0.0056453037095094746, 0.009936359747112546]"
8,"[0.0028026520522268015, 0.019518926352985234]","[0.0028026520522268015, 0.019518926352985234]","[0.00957760230710425, 0.01338737605730963]","[0.009146987057918263, 0.01213389001736317]","[0.01428422121134122, 0.013919460125271016]","[0.011712171336800869, 0.006967584998859586]","[0.0028026520522268015, 0.019518926352985234]","[0.003151658349609127, 0.005045973595465355]","[0.002038949376982711, 0.0005435898062454101]","[0.02631891377990914, 0.014881105373889798]","[0.02366028415795841, 0.051779588294849105]","[0.008595816922127787, 0.006789624268129419]","[0.008174256317071148, 0.006205856034846172]","[0.007681321183945076, 0.004501022151417897]","[0.005302488319298328, 0.012793030138770287]","[0.003132852837448665, 0.0065895252610216086]","[0.0032519980401952177, 0.003883958055707825]","[0.008174256317071148, 0.006205856034846172]","[0.007453256906572272, 0.011002233948616515]","[0.0004687348210065419, 0.0017703794707078578]","[0.003247771798910886, 0.0021973695282608936]","[0.004202829248458281, 0.010700519469793383]","[0.0, 0.0]","[0.00485724213888262, 0.01082974932065539]","[0.008174256317071148, 0.006205856034846172]","[0.002030460862431284, 0.009709747962409624]","[0.0007051921179649132, 0.003524138359297997]","[0.001504499549678765, 0.00496371639267185]","[0.007988813347291427, 0.0070069413477439725]","[0.0, 0.0]","[0.006815214795584716, 0.007147963438459926]"
9,"[0.003299966513234718, 0.015627499281468015]","[0.003299966513234718, 0.015627499281468015]","[0.011622380055286381, 0.011156258719341472]","[0.011003381799084135, 0.010637392496138957]","[0.015505367395882697, 0.009268266512727876]","[0.01182002049962007, 0.004254778547256151]","[0.003299966513234718, 0.015627499281468015]","[0.004414962662897689, 0.011925882550548314]","[0.0021053214160764422, 0.0008534458501881793]","[0.03361185387437926, 0.015553467043912549]","[0.031773985497638844, 0.07051730048978005]","[0.01019896419396497, 0.004887467104259234]","[0.008205409141830535, 0.001008958186655696]","[0.009505769123244086, 0.003641733395187932]","[0.006085683327412389, 0.006803647355932044]","[0.0035036560712141535, 0.003917755851938456]","[0.0037665791326435393, 0.0024082127011080287]","[0.008205409141830535, 0.001008958186655696]","[0.008261748268452874, 0.004803559247194817]","[0.000695023447602864, 0.002841307250598594]","[0.003322576932884672, 0.00037350045992678836]","[0.004496472279601779, 0.0056063826068191314]","[0.0, 0.0]","[0.00522914606246851, 0.005854462442434694]","[0.008205409141830535, 0.001008958186655696]","[0.0023882140497441134, 0.0059607088436696085]","[0.0008391768574781378, 0.002083593170335615]","[0.0017241147411659187, 0.0017453292519943964]","[0.008024892329080203, 0.0016944706344886277]","[0.0, 0.0]","[0.006851548243082015, 0.0017191327969854784]"
10,"[0.003793936528717251, 0.014830287880099588]","[0.003793936528717251, 0.014830287880099588]","[0.013364876632978192, 0.00946778820639833]","[0.012348305586704423, 0.008024922305894324]","[0.01808314263020448, 0.014832831990716609]","[0.011619410753998966, 0.0005089427883158967]","[0.003793936528717251, 0.014830287880099588]","[0.005854501637910041, 0.01282032595824625]","[0.0025026072082475837, 0.0023404209654725723]","[0.036188174125127426, 0.007190017354749047]","[0.03292820822038361, 0.01939824059702097]","[0.01510568699869061, 0.012265473928223546]","[0.01085688645412832, 0.006471759864279781]","[0.015815466042131913, 0.010684248744782946]","[0.007281030647836846, 0.008960161566590788]","[0.004473610771044021, 0.0078128594194116]","[0.004506677360920388, 0.0030341883601734173]","[0.01085688645412832, 0.006471759864279781]","[0.012990890047969255, 0.01959579452263391]","[0.0007554542647645088, 0.0009931592722817093]","[0.005069345374594542, 0.0027733281814189903]","[0.005783297247603697, 0.015474464377553938]","[0.0, 0.0]","[0.006815770574850066, 0.016197147046224228]","[0.01085688645412832, 0.006471759864279781]","[0.004034435147925965, 0.021217052850547015]","[0.000854079549295071, 0.0006420291560748901]","[0.0024626329658059974, 0.004482005519121409]","[0.009961368827356851, 0.008376178974478895]","[0.0, 0.0]","[0.008544853389916455, 0.008541642347787618]"
