Frame index,Hips,LHipJoint,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RHipJoint,RightUpLeg,RightLeg,RightFoot,RightToeBase,LowerBack,Spine,Spine1,Neck,Neck1,Head,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftFingerBase,LeftHandIndex1,LThumb,RightShoulder,RightArm,RightForeArm,RightHand,RightFingerBase,RightHandIndex1,RThumb
1,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
2,"[0.0, 0.6714934895342909]","[0.0, 0.6714934895342909]","[0.0, 0.2373181910440626]","[0.0, 0.6596612626520603]","[0.0, 0.4564824500691753]","[0.0, 0.1120080023822433]","[0.0, 0.6714934895342909]","[0.0, 0.27479555034958436]","[0.0, 0.6551408248983871]","[0.0, 0.38637026340683134]","[0.0, 0.1873916669740364]","[0.0, 0.08837680387974482]","[0.0, 0.08601850079368155]","[0.0, 0.12972287938514845]","[0.0, 0.35124231550217033]","[0.0, 0.3156834053571832]","[0.0, 0.14760882366786424]","[0.0, 0.08601850079368155]","[0.0, 1.4285394577600457]","[0.0, 0.44794432266137457]","[0.0, 0.1977545308972175]","[0.0, 0.5782260851190915]","[0.0, 0.124354709204596]","[0.0, 1.1500368171141904]","[0.0, 0.08601850079368155]","[0.0, 1.3403096352663537]","[0.0, 0.559310150735788]","[0.0, 0.2812720262636502]","[0.0, 0.3410459309438551]","[0.0, 0.124354709204596]","[0.0, 0.35165132165235147]"
3,"[0.00024649072972941473, 0.002980774080043893]","[0.00024649072972941473, 0.002980774080043893]","[0.0010420367512101827, 0.00446059339528291]","[9.70967774269087e-06, 0.00011529400991168443]","[0.00040129272878713625, 0.003299944152016305]","[0.002375054514405508, 0.004811306717223578]","[0.00024649072972941473, 0.002980774080043893]","[0.0006559574930731414, 0.0032488379360367586]","[3.433360045016459e-05, 0.00040490799053679644]","[0.00019120647624699851, 0.0013302856953893358]","[0.0022315592308201123, 0.00756090654375825]","[0.0021316783383061363, 0.0034055560584000935]","[0.000972954271212146, 0.0015093945578634888]","[0.0008535464097083058, 0.0019964492581140427]","[0.0006428225629899271, 0.004069388656926194]","[0.0006082169335001845, 0.0034602811946162085]","[0.0007238295208786471, 0.0019259735317968692]","[0.000972954271212146, 0.0015093945578634888]","[8.601918258199155e-05, 0.0022122529455514467]","[9.407347191241838e-05, 0.0007586569556141216]","[0.0002445493293647047, 0.0008709192967451983]","[0.0004684556819829039, 0.004880291805348868]","[0.0, 0.0]","[0.00023103167866252603, 0.004784719744744244]","[0.000972954271212146, 0.0015093945578634888]","[0.0004131873644021753, 0.00997662661696626]","[0.0005966507145517155, 0.006014007062217762]","[0.0006579110186876056, 0.0033353242005611]","[0.0007066693492843192, 0.004344260762917631]","[0.0, 0.0]","[0.0006710747827012197, 0.00425342688602157]"
4,"[0.0010091347667425478, 0.008867183499513666]","[0.0010091347667425478, 0.008867183499513666]","[0.004095543641947008, 0.01264712829047509]","[0.00020196655269305578, 0.0021627099285415775]","[0.0008815674067972891, 0.0038885708888854007]","[0.002835522384964747, 0.0011112753524556635]","[0.0010091347667425478, 0.008867183499513666]","[0.003155272399106753, 0.011919370605340094]","[0.0001466390268807844, 0.0012703436915273204]","[0.0007912085678233409, 0.004011120654038119]","[0.005950057850699015, 0.012343141698819103]","[0.006247885842076374, 0.006425750412282558]","[0.007255019630216038, 0.009436718341409118]","[0.00648568033225444, 0.012731343574962032]","[0.0013710004501096915, 0.004550334864974435]","[0.0015466214923196052, 0.005214417706650425]","[0.0011274573486178194, 0.0011062018999607706]","[0.007255019630216038, 0.009436718341409118]","[0.0005476230895245843, 0.011330416021737365]","[0.0002072710763745196, 0.0008981422383216861]","[0.0009627347100308167, 0.002460914245311998]","[0.0007051078311083835, 0.0025603036548045876]","[0.0, 0.0]","[0.0003491356498118351, 0.0025367083745133833]","[0.007255019630216038, 0.009436718341409118]","[0.0009036000602919072, 0.011662793487349008]","[0.0009878375224973276, 0.004010762797855567]","[0.0007178980362646657, 0.0004450589592585599]","[0.0014045862428645672, 0.00426078132292327]","[0.0, 0.0]","[0.0013650942254681483, 0.004358999826885406]"
5,"[0.0011787598732345716, 0.0023723424839079514]","[0.0011787598732345716, 0.0023723424839079514]","[0.005161128238517789, 0.004887945316193499]","[0.0002743062908951316, 0.000870812352588713]","[0.0013957124605746755, 0.004086231373152861]","[0.0074784881808105715, 0.008742187542799354]","[0.0011787598732345716, 0.0023723424839079514]","[0.003601832961616835, 0.0026858623174134937]","[0.00020232148796358668, 0.0006608532386530188]","[0.0008870805963344761, 0.0008394061555417514]","[0.007170726144636453, 0.0046268383821051915]","[0.01138676711276014, 0.007880088200117536]","[0.011696862163099394, 0.00679390224037959]","[0.011627927186709039, 0.011624532221519447]","[0.0028792703165204927, 0.008917781156741075]","[0.0020555790240345305, 0.002973534072316471]","[0.002004720112267288, 0.0022132714589191403]","[0.011696862163099394, 0.00679390224037959]","[0.0010731161920629292, 0.012664851453125632]","[0.0005087309524205979, 0.002237663647470217]","[0.001391909164565228, 0.0015149457907310988]","[0.0011739368512048557, 0.004673436511614972]","[0.0, 0.0]","[0.000563454173891916, 0.004269238139565061]","[0.011696862163099394, 0.00679390224037959]","[0.0014154326542077768, 0.011971783458268603]","[0.001394671612047009, 0.004093724094059514]","[0.0009093675989098663, 0.0010262536001726895]","[0.0019083956541672425, 0.003142352343785273]","[0.0, 0.0]","[0.001823073262073596, 0.002969988203545081]"
6,"[0.0012998903961721864, 0.0018217060874079068]","[0.0012998903961721864, 0.0018217060874079068]","[0.005648291878181742, 0.002699938735625431]","[0.00035397957137135093, 0.0009250824585186234]","[0.0014860833602457855, 0.0010999018432184227]","[0.015055175810736673, 0.013910988537850187]","[0.0012998903961721864, 0.0018217060874079068]","[0.003930870835579342, 0.0021289405272595183]","[0.000254511469420091, 0.0006126843754182417]","[0.0009464600421051977, 0.0006032734124813253]","[0.008504440809530476, 0.004861144765221195]","[0.011519871332005042, 0.0009588711328746372]","[0.011990733636530127, 0.001175246749790725]","[0.011775137774002358, 0.0014641357384151444]","[0.0030450676702368637, 0.0016458288362302287]","[0.002636474056766438, 0.003255192916406019]","[0.0025695840314767077, 0.0014799796292948228]","[0.011990733636530127, 0.001175246749790725]","[0.0011330724970404224, 0.0024416852538646063]","[0.0007668368319890904, 0.001908340727015262]","[0.0019774077808593317, 0.001951278103729628]","[0.0022968158932947322, 0.010309175573341075]","[0.0, 0.0]","[0.001079628415822107, 0.009415913244715102]","[0.011990733636530127, 0.001175246749790725]","[0.0014703513617359918, 0.0025344833240443366]","[0.0018271471506935174, 0.004228461419210684]","[0.0011675775445722633, 0.001286307658719851]","[0.002323447744089378, 0.0026225035420573955]","[0.0, 0.0]","[0.0022255365390464153, 0.002614474220023448]"
7,"[0.0014678698116796067, 0.002202561713547647]","[0.0014678698116796067, 0.002202561713547647]","[0.0061271305816386025, 0.002586995737331664]","[0.00035151193426588676, 0.00010663108349319516]","[0.0014707912004366236, 0.0002314230329277261]","[0.01636078700117143, 0.003399558915196551]","[0.0014678698116796067, 0.002202561713547647]","[0.0043825725188649705, 0.0025402488274967826]","[0.0002567006490506117, 0.0001369113752592764]","[0.0009385065898412956, 0.00014908498168875246]","[0.008814976959799704, 0.001984738906729347]","[0.014664266782319647, 0.004779047972689394]","[0.01619894474855162, 0.006061990736165081]","[0.0160059056314595, 0.00912099189912604]","[0.00368459041651475, 0.003935839412472477]","[0.0031784279642663275, 0.002998886028955555]","[0.0027324842949415173, 0.000606011990452567]","[0.01619894474855162, 0.006061990736165081]","[0.0015374205726504206, 0.00925485886939887]","[0.0008715588973805885, 0.0008991061108373424]","[0.002666131473415363, 0.00219213354050488]","[0.002420629900878552, 0.0019467121012645156]","[0.0, 0.0]","[0.0011425306803795059, 0.0018884910038133023]","[0.01619894474855162, 0.006061990736165081]","[0.002003857476130006, 0.011433998724383504]","[0.002302551892176377, 0.004458392311408554]","[0.0025839343531408846, 0.0058590702989448455]","[0.0032219703730064497, 0.004874483376430032]","[0.0, 0.0]","[0.0030624436125930503, 0.004694730702974355]"
8,"[0.001776035610128485, 0.003354473089874109]","[0.001776035610128485, 0.003354473089874109]","[0.007116949876193085, 0.00411362989536069]","[0.0003487682965987811, 9.206263975366107e-05]","[0.0017310589806396309, 0.001990451667664791]","[0.019312881256531477, 0.0058568314917670635]","[0.001776035610128485, 0.003354473089874109]","[0.005277776862856391, 0.004073753899087888]","[0.00027427359859380257, 0.00025925004150453764]","[0.001212117245887572, 0.0016189924748205053]","[0.013867685270012375, 0.013917762759116693]","[0.015892572916189993, 0.002361785700492927]","[0.019514282944623422, 0.004885566210417224]","[0.018587954277688626, 0.006005409268913218]","[0.00424885969331093, 0.0034644826497677536]","[0.003813296730131081, 0.0032865972009241927]","[0.002905413808517663, 0.0005988031490313446]","[0.019514282944623422, 0.004885566210417224]","[0.0019198335274824506, 0.008570086240886636]","[0.0015058602489080803, 0.003966299209916481]","[0.003229463379529025, 0.001802925117310201]","[0.00249569285040447, 0.0014881810425889988]","[0.0, 0.0]","[0.001188844308481131, 0.001553297838326222]","[0.019514282944623422, 0.004885566210417224]","[0.002604580706930819, 0.012272996436905145]","[0.0028505849779437856, 0.004849780405080886]","[0.004055655055867886, 0.005920156822764815]","[0.004390851388103525, 0.005952005996012995]","[0.0, 0.0]","[0.004228208846160678, 0.006085432798947433]"
9,"[0.001997337624770923, 0.002520790194332638]","[0.001997337624770923, 0.002520790194332638]","[0.007788443512894156, 0.003029624390209041]","[0.0003546601073519596, 0.00018508420954347542]","[0.001764171342009922, 0.000659413234066826]","[0.02008324587225978, 0.0025265594922716564]","[0.001997337624770923, 0.002520790194332638]","[0.00589078439876178, 0.0029752232757354474]","[0.00029370150378128893, 0.0002608856812022485]","[0.0013084605026629568, 0.0007327220359323495]","[0.014782631929062063, 0.0037957290188829337]","[0.017491418903059292, 0.0026892184668177266]","[0.019405922499456073, 0.0007807326442851062]","[0.018592184750028693, 0.0015484461555124879]","[0.004888342335760456, 0.0036515664196630103]","[0.003905811503636088, 0.0010845542342107987]","[0.003291545960988357, 0.000950686198648211]","[0.019405922499456073, 0.0007807326442851062]","[0.0020139030389010244, 0.0032773756855027274]","[0.002161917229959324, 0.003954455099064097]","[0.003431974016036777, 0.0008709192967451428]","[0.0026060301472120395, 0.0016508350158912024]","[0.0, 0.0]","[0.0012494698032879065, 0.001666031848902402]","[0.019405922499456073, 0.0007807326442851062]","[0.002712792759071411, 0.003858429784654049]","[0.0031657236978328823, 0.0030937595260106376]","[0.004388307912422515, 0.0018325957145941519]","[0.00466609882205017, 0.0020485134512697547]","[0.0, 0.0]","[0.004469049460709796, 0.001930433420118152]"
10,"[0.002410696439770124, 0.0038318627510108387]","[0.002410696439770124, 0.0038318627510108387]","[0.009165222025446142, 0.004811703729233062]","[0.000375016585622998, 0.0002771291217369474]","[0.0020659299015377717, 0.0019724861846665436]","[0.02026180713161215, 0.0016052954485623015]","[0.002410696439770124, 0.0038318627510108387]","[0.007067006895567847, 0.0046035218091624195]","[0.0003075810528642823, 0.00020617895431872095]","[0.0013734034287543777, 0.0005587710441621574]","[0.01688467554494949, 0.00621242394256082]","[0.01906229212622289, 0.0025507592669859695]","[0.022756656891695665, 0.004455562232344119]","[0.021254905694447466, 0.00553769899040211]","[0.005371918346792277, 0.002871150806912399]","[0.004754544097446357, 0.0036743846467429046]","[0.003487487868820679, 0.0005925553887114104]","[0.022756656891695665, 0.004455562232344119]","[0.0023460483829955874, 0.006850963834434449]","[0.002147102176091357, 0.0003526679800580764]","[0.0033735009704622325, 5.585053606384308e-05]","[0.0026684047968662276, 0.0012433912091493755]","[0.0, 0.0]","[0.0012877140420009348, 0.0012826552245161576]","[0.022756656891695665, 0.004455562232344119]","[0.003109082786072307, 0.007901210451777167]","[0.0032934495868218753, 0.0017751447825909681]","[0.005853623631892717, 0.005302310267558719]","[0.006142661757808959, 0.006514834193779441]","[0.0, 0.0]","[0.005938764392561464, 0.006650798691460858]"
