Frame index,Hips,LHipJoint,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RHipJoint,RightUpLeg,RightLeg,RightFoot,RightToeBase,LowerBack,Spine,Spine1,Neck,Neck1,Head,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftFingerBase,LeftHandIndex1,LThumb,RightShoulder,RightArm,RightForeArm,RightHand,RightFingerBase,RightHandIndex1,RThumb
1,"[0.5909, 18.265, -3.6409, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-21.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[21.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, -16.0]","[0.0, 0.0, 21.0]","[0.0, 0.0, 11.0]","[0.0, 0.0, 0.0]","[-8.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[8.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
2,"[0.5909, 18.265, -3.6409, 6.604, -67.1541, -8.8001]","[0.0, 0.0, 0.0]","[-8.8256, -4.8004, -14.8269]","[5.2299, 13.6381, 41.8065]","[0.2112, 4.1971, -11.2596]","[0.2849, -3.433, -9.4866]","[0.0, 0.0, 0.0]","[17.679, 14.2792, -5.2769]","[-5.2085, -13.6148, 41.7157]","[-1.6812, -4.2247, -26.3166]","[-0.2464, 3.1942, -8.82]","[-0.9412, 2.679, 3.8492]","[-1.6545, 3.498, 1.478]","[-1.3177, 1.7405, -0.5907]","[-4.9982, 7.2628, -4.535]","[11.6264, 7.9945, 21.9714]","[5.1132, 4.3031, 6.6595]","[0.0, -0.0, 0.0]","[-59.1126, -29.8438, 19.9026]","[155.7747, -35.4016, -112.1633]","[-0.0, 0.0, -19.771]","[26.7905, 15.3635, 7.6196]","[-7.125, 0.0, -0.0]","[-0.8062, 47.0864, -0.0415]","[0.0, -0.0, 0.0]","[77.4393, 34.5199, 47.8189]","[-139.9095, 48.1234, -101.4934]","[0.0, -0.0, -15.0682]","[-26.0255, 8.9911, -4.3638]","[7.125, -0.0, -0.0]","[0.6416, -19.9938, 0.3836]"
3,"[0.6082, 18.2067, -3.6223, 7.1923, -67.4884, -9.4381]","[0.0, 0.0, 0.0]","[-9.1346, -4.7626, -14.8211]","[5.3476, 13.7649, 42.3037]","[0.2659, 4.0738, -12.1103]","[0.3579, -3.8433, -10.6362]","[0.0, 0.0, 0.0]","[17.3722, 14.6205, -5.7348]","[-5.4559, -13.8795, 42.7568]","[-1.7712, -3.8435, -26.7624]","[-0.2353, 3.1218, -8.618]","[-1.214, 2.7438, 4.0998]","[-1.6786, 3.5662, 1.4924]","[-1.2066, 1.7731, -0.7297]","[-5.1689, 7.2149, -4.8169]","[11.7477, 7.9449, 21.9158]","[5.1893, 4.2842, 6.6809]","[0.0, -0.0, 0.0]","[-58.9075, -30.2202, 19.9084]","[155.8484, -35.3242, -112.2059]","[-0.0, 0.0, -19.3409]","[27.8371, 15.4893, 8.0272]","[-7.125, 0.0, -0.0]","[0.1802, 47.3801, 0.0106]","[0.0, -0.0, 0.0]","[77.1242, 34.7433, 47.0393]","[-140.8156, 47.5792, -102.1652]","[0.0, -0.0, -15.2568]","[-26.1867, 9.0049, -4.4014]","[7.125, -0.0, -0.0]","[0.5269, -19.965, 0.3154]"
4,"[0.6255, 18.1479, -3.6015, 7.8786, -67.8399, -10.1815]","[0.0, 0.0, 0.0]","[-9.4846, -4.6804, -14.7841]","[5.4629, 13.8869, 42.7862]","[0.337, 3.7986, -13.0318]","[0.3731, -3.9234, -10.8613]","[0.0, 0.0, 0.0]","[17.0186, 14.9355, -6.177]","[-5.7053, -14.1365, 43.787]","[-1.8613, -3.3902, -27.1712]","[-0.2055, 2.9187, -8.0524]","[-1.4372, 2.8051, 4.3802]","[-1.7581, 3.628, 1.496]","[-1.182, 1.8028, -0.8902]","[-5.219, 7.1664, -5.0136]","[11.7676, 7.9054, 21.7364]","[5.203, 4.2694, 6.6586]","[0.0, -0.0, 0.0]","[-58.767, -30.4316, 20.0566]","[155.9908, -35.174, -112.2882]","[-0.0, 0.0, -18.7484]","[28.6887, 15.5192, 8.3299]","[-7.125, 0.0, -0.0]","[0.9982, 47.5421, 0.0626]","[0.0, -0.0, 0.0]","[77.0733, 34.9274, 46.4104]","[-141.6782, 47.0436, -102.7992]","[0.0, -0.0, -15.0976]","[-25.9902, 8.5982, -4.1687]","[7.125, -0.0, -0.0]","[0.6474, -20.4314, 0.3807]"
5,"[0.6443, 18.0867, -3.5775, 8.1366, -68.2335, -10.4801]","[0.0, 0.0, 0.0]","[-9.6615, -4.5349, -14.8003]","[5.5762, 14.0046, 43.256]","[0.4233, 3.5695, -14.122]","[0.4057, -4.089, -11.3273]","[0.0, 0.0, 0.0]","[16.8374, 15.1928, -6.7314]","[-5.9545, -14.3842, 44.799]","[-1.9296, -3.1961, -27.5464]","[-0.2322, 3.1014, -8.5612]","[-1.4499, 2.8764, 4.6092]","[-1.8034, 3.714, 1.4957]","[-1.2385, 1.8453, -1.0151]","[-5.2723, 7.088, -5.1713]","[11.7672, 7.8355, 21.4579]","[5.2023, 4.2378, 6.6016]","[-0.0, 0.0, 0.0]","[-58.7656, -30.5591, 20.3393]","[156.1692, -34.9848, -112.3907]","[-0.0, 0.0, -18.019]","[29.2403, 15.3385, 8.4231]","[-7.125, 0.0, -0.0]","[1.5535, 47.424, 0.0929]","[-0.0, 0.0, 0.0]","[77.0059, 35.0645, 45.6487]","[-142.5804, 46.4646, -103.4565]","[0.0, -0.0, -14.9003]","[-25.5973, 8.2407, -3.928]","[7.125, -0.0, -0.0]","[0.9142, -20.8571, 0.5288]"
6,"[0.6646, 18.0229, -3.5532, 7.8738, -68.5995, -10.2261]","[0.0, 0.0, 0.0]","[-9.6221, -4.424, -14.9065]","[5.6798, 14.1107, 43.6826]","[0.5068, 3.4831, -15.1731]","[0.4897, -4.4871, -12.4514]","[0.0, 0.0, 0.0]","[16.8695, 15.4035, -7.3885]","[-6.2064, -14.6255, 45.8047]","[-1.9944, -3.2087, -27.9848]","[-0.2829, 3.4207, -9.4522]","[-1.4166, 2.9103, 4.8022]","[-1.6943, 3.7569, 1.4711]","[-1.1596, 1.8669, -1.1526]","[-5.3496, 7.0034, -5.2072]","[11.5895, 7.8027, 21.0155]","[5.1359, 4.2059, 6.4761]","[0.0, 0.0, 0.0]","[-59.3602, -30.3997, 21.0501]","[156.3454, -34.7969, -112.4915]","[-0.0, 0.0, -16.5767]","[29.5887, 14.9874, 8.3537]","[-7.125, 0.0, -0.0]","[1.9285, 47.0821, 0.0991]","[0.0, 0.0, 0.0]","[76.8618, 35.1502, 45.1034]","[-143.4646, 45.8779, -104.0944]","[0.0, -0.0, -14.9186]","[-25.6833, 8.2104, -3.9288]","[7.125, -0.0, -0.0]","[0.8507, -20.8841, 0.4916]"
7,"[0.6854, 17.956, -3.5272, 8.0868, -68.955, -10.4971]","[0.0, 0.0, 0.0]","[-9.7792, -4.2999, -14.903]","[5.7739, 14.2056, 44.0675]","[0.5934, 3.3962, -16.1826]","[0.654, -5.1727, -14.4017]","[0.0, 0.0, 0.0]","[16.7345, 15.722, -7.8876]","[-6.4617, -14.8613, 46.8078]","[-2.0972, -2.9553, -28.5477]","[-0.2522, 3.2314, -8.9236]","[-1.5196, 2.9408, 5.0878]","[-1.6378, 3.7845, 1.476]","[-1.0624, 1.8804, -1.3169]","[-5.5077, 6.9486, -5.1466]","[11.4915, 7.8145, 20.403]","[5.0975, 4.1951, 6.2679]","[0.0, 0.0, 0.0]","[-60.2387, -29.982, 22.1728]","[156.5591, -34.5675, -112.613]","[-0.0, 0.0, -14.6206]","[30.0042, 14.7608, 8.3696]","[-7.125, 0.0, -0.0]","[2.3516, 46.8886, 0.1097]","[0.0, 0.0, 0.0]","[76.7092, 35.1813, 44.7807]","[-144.2979, 45.307, -104.6896]","[0.0, -0.0, -15.0372]","[-26.3092, 8.3312, -4.0977]","[7.125, -0.0, -0.0]","[0.4048, -20.7018, 0.2356]"
8,"[0.7046, 17.8883, -3.4952, 8.5619, -69.3732, -11.1496]","[0.0, 0.0, 0.0]","[-10.0476, -4.1036, -14.6989]","[5.8627, 14.294, 44.4283]","[0.69, 3.3589, -17.2643]","[0.964, -6.2514, -17.5156]","[0.0, 0.0, 0.0]","[16.526, 16.1053, -8.1539]","[-6.7118, -15.0843, 47.7756]","[-2.1971, -2.5732, -29.0274]","[-0.2291, 3.0806, -8.5032]","[-1.5357, 3.0001, 5.4148]","[-1.6836, 3.8513, 1.5528]","[-1.1209, 1.9125, -1.4176]","[-5.5064, 6.8764, -5.2211]","[11.3787, 7.7758, 19.9555]","[5.042, 4.1726, 6.1498]","[0.0, 0.0, 0.0]","[-60.749, -29.5657, 22.9886]","[156.7789, -34.3297, -112.7374]","[-0.0, 0.0, -13.2007]","[30.26, 14.4495, 8.2828]","[-7.125, 0.0, -0.0]","[2.626, 46.5741, 0.1021]","[0.0, 0.0, 0.0]","[76.6733, 35.1774, 44.5115]","[-145.0936, 44.7452, -105.2526]","[0.0, -0.0, -15.1049]","[-27.1081, 8.5837, -4.3691]","[7.125, -0.0, -0.0]","[-0.1567, -20.3555, -0.0924]"
9,"[0.727, 17.8217, -3.4618, 8.7416, -69.784, -11.5723]","[0.0, 0.0, 0.0]","[-10.206, -3.9115, -14.5006]","[5.9558, 14.3854, 44.8042]","[0.8009, 3.1924, -18.3533]","[1.0123, -6.4015, -17.9539]","[0.0, 0.0, 0.0]","[16.4267, 16.3245, -8.3918]","[-6.9495, -15.2892, 48.6832]","[-2.2585, -2.3889, -29.3399]","[-0.2451, 3.1861, -8.7972]","[-1.4428, 3.0724, 5.8287]","[-1.6985, 3.9397, 1.6366]","[-1.2151, 1.9551, -1.5537]","[-5.3875, 6.7655, -5.4071]","[11.1551, 7.682, 19.6537]","[4.9426, 4.1248, 6.1136]","[0.0, -0.0, 0.0]","[-61.2711, -29.1399, 23.6406]","[157.0114, -34.0764, -112.8681]","[-0.0, 0.0, -12.2248]","[30.2478, 14.1537, 8.1151]","[-7.125, 0.0, -0.0]","[2.6398, 46.2366, 0.0806]","[0.0, -0.0, 0.0]","[76.741, 35.1619, 44.1769]","[-145.9051, 44.1549, -105.8209]","[0.0, -0.0, -15.3023]","[-27.3928, 8.5073, -4.3836]","[7.125, -0.0, -0.0]","[-0.3655, -20.4169, -0.215]"
10,"[0.7486, 17.7587, -3.4262, 8.8057, -70.0922, -11.8331]","[0.0, 0.0, 0.0]","[-10.3441, -3.779, -14.4188]","[6.0628, 14.489, 45.2334]","[0.9135, 2.9804, -19.3654]","[0.9066, -6.0676, -16.9806]","[0.0, 0.0, 0.0]","[16.3339, 16.4435, -8.652]","[-7.1681, -15.4718, 49.5072]","[-2.3365, -2.1996, -29.7504]","[-0.248, 3.2042, -8.8478]","[-1.3886, 3.1255, 6.2204]","[-1.6384, 4.0034, 1.6763]","[-1.2106, 1.9859, -1.7307]","[-5.415, 6.6861, -5.6032]","[11.0222, 7.6277, 19.4404]","[4.9021, 4.0931, 6.0917]","[0.0, -0.0, 0.0]","[-62.0683, -28.5457, 24.5432]","[157.3379, -33.7172, -113.0502]","[-0.0, 0.0, -11.9054]","[30.4619, 13.9564, 8.0737]","[-7.125, 0.0, -0.0]","[2.8602, 46.0432, 0.0737]","[0.0, -0.0, 0.0]","[76.6707, 35.0071, 43.7368]","[-146.7185, 43.5453, -106.3844]","[0.0, -0.0, -15.6373]","[-27.1422, 8.2399, -4.2021]","[7.125, -0.0, -0.0]","[-0.2003, -20.7369, -0.1164]"
